question_id,subsection_id,photo_report_count,report_messages,first_report_at,last_report_at,flagged,visible,question,answer
s.b)bEvZbq,congenital-syndromes,1,need photo,2026-04-14 20:50:19.003036,2026-04-14 20:50:19.003036,true,false,"A 30-year-old female patient presents with the dental configuration illustrated in the provided diagram. Which of the following most accurately characterizes this dental relationship?
A) Angle class I
B) Angle class II
C) Angle class III
D) Negative overjet
E) Overbite","B)
The images demonstrate an Angle class II relationship. The Angle classification describes the positional relationship between the maxillary first molar's mesial buccal cusp and the mandibular first molar's buccal groove. In class II, the maxillary mesiobuccal cusp sits anterior to the mandibular buccal groove. Option A is incorrect because class I involves alignment of the mesiobuccal cusp with the buccal groove. Option C is incorrect because class III occurs when the maxillary mesiobuccal cusp lies posterior to the mandibular buccal groove. Option D is incorrect because negative overjet refers to a specific horizontal discrepancy, not the molar relationship shown. Option E is incorrect because overbite describes vertical overlap between central incisor incisal surfaces, not the molar relationship demonstrated in this case."
t4<zech$&q,congenital-syndromes,1,Need photo,2026-04-29 19:50:41.817953,2026-04-29 19:50:41.817953,true,false,"A 55-year-old man seeks consultation following Mohs micrographic surgery for removal of the nasal lesion depicted. The resulting defect is 1.2 × 1.4 cm and reaches but does not penetrate the underlying cartilage. The patient expresses significant concern regarding cosmetic appearance. Which of the following represents the optimal treatment approach?
A) Bilobed flap from the nose
B) Full-thickness skin graft
C) Paramedian forehead flap
D) Purse-string closure
E) Split-thickness skin graft","A)

A bilobed flap is the most appropriate choice for this 1.2 × 1.4 cm defect (approximately 12-14 mm), as it falls within the ideal size range of 10-15 mm for this single-stage technique. The bilobed flap provides excellent color and texture matching for nasal sidewall reconstruction with superior cosmetic results. B is incorrect because full-thickness skin grafts often result in color and texture mismatch with a patch-like appearance and may contract, distorting nasal shape. C is incorrect because paramedian forehead flaps are reserved for larger defects greater than 15 mm and would be excessive for this size defect. D is incorrect because purse-string closure would create excessive tension and distortion for a defect of this size. E is incorrect because split-thickness skin grafts provide poor cosmetic results with significant color mismatch and contraction."
y:O1=v/U*$,ear-reconstruction,1,need photo,2026-04-13 21:18:33.234448,2026-04-13 21:18:33.234448,true,false,"A 7-year-old female child is being assessed for the ear malformation depicted. Temporal bone CT imaging of the affected ear reveals absence of both the stapes and incus bones. Reconstruction utilizing autologous rib cartilage is being planned. The child's parents ask about possibilities for enhancing hearing in the affected ear. Which of the following represents the most suitable recommendation?
A) Canal atresia correction should occur following ear reconstruction
B) Canal atresia correction should occur prior to ear reconstruction
C) A bone-conduction hearing device should be implanted following ear reconstruction
D) A bone-conduction hearing device should be implanted prior to ear reconstruction
E) Auditory improvement is not possible for this patient","C)

The most appropriate response is option C. Staged reconstruction using autologous cartilage remains the preferred method for correcting microtia. The timing and approach for addressing associated hearing impairment depends on whether the condition is unilateral or bilateral, whether external ear construction is planned, and the status of middle ear anatomy. For this patient with absent stapes and incus, the Jahrsdoerfer scoring system would yield a maximum score of 5 points (losing points for anotia, absent stapes, and absent incus), making middle ear reconstruction contraindicated and unlikely to succeed. A bone-anchored hearing aid (BAHA) provides superior hearing restoration compared to atresia repair in such cases and should be placed after completing the autologous ear reconstruction to avoid interference with the surgical process. Option A is incorrect because atresia repair would not be successful given the poor anatomy score. Option B is incorrect for the same reason and wrong timing. Option D is incorrect because BAHA placement should follow, not precede, ear reconstruction. Option E is incorrect because BAHA can effectively improve hearing in this scenario."
BK3@V!)!>m,hand-digit-trauma,1,Need photo,2026-04-28 20:02:41.046324,2026-04-28 20:02:41.046324,true,false,"What provides the vascular supply to the flap used for fingertip reconstruction as depicted?
A) Distally based circulation from the opposite digital artery
B) Dorsal penetrating blood vessels
C) Perineural penetrating blood vessels
D) Proximally based circulation from the same-side digital artery","A)
The answer is A. A reverse homodigital island flap is demonstrated, which is a distally based flap effective for fingertip injury repair. The arterial blood supply originates from the opposite digital artery through the crossing ladder vessels of the palmar digital arch located just dorsal to the volar plate at each joint level. This procedure requires sacrificing the same-side digital artery, and careful preservation of the digital nerve is essential during skin paddle elevation. The donor area typically requires skin grafting. B is incorrect because dorsal perforating vessels do not provide the primary blood supply for this specific flap design. C is incorrect because perineural perforating vessels are not the main vascular source for this reconstruction technique. D is incorrect because the flap is distally based from the contralateral artery, not proximally based from the ipsilateral artery."
FG~Iz]D-Fs,hand-digit-trauma,1,Need image,2026-05-03 13:07:49.105041,2026-05-03 13:07:49.105041,true,false,"An 11-year-old healthy boy presents to the emergency department with increasing erythema and discomfort at the location of a finger injury. The child injured his left middle finger 3 weeks prior during play-wrestling with his sibling. Initially, there was swelling and tenderness of the digit, but the discomfort subsided rapidly and no medical attention was obtained. His mother notes she observed a small protrusion on the back of the finger afterward. Two days ago, the child developed redness and pain at the same location, which have progressively worsened. Imaging studies and radiographs are provided. What is the most probable etiology of this patient's current presentation?
A) Nail biting habits
B) Contact with Pasteurella organisms
C) Avulsion of the flexor tendon
D) Compromised immune system
E) Entrapped nail bed tissue","E)
This patient presents with a Seymour fracture, which is a juxta-epiphyseal open fracture of the distal phalanx, demonstrated by the eponychial disruption and characteristic fracture pattern on radiographic imaging. These represent open fractures commonly associated with nail bed lacerations. Due to delayed treatment, the patient has developed secondary osteomyelitis. The entrapped germinal matrix (nail bed tissue) within the fracture site is the primary cause of the patient's symptoms and complications. A) Nail biting habits is incorrect because this typically causes nontraumatic paronychia rather than post-traumatic osteomyelitis following a fracture. B) Pasteurella exposure is incorrect as this organism is associated with animal bites, not wrestling injuries, and is not the primary pathogen in Seymour fracture infections. C) Flexor tendon avulsion is incorrect because this injury (jersey finger) is typically closed and would present with inability to flex the distal interphalangeal joint, not with the open fracture pattern seen here. D) Compromised immune system is incorrect as healthy children can develop infections from these injuries, and there is no evidence of immunocompromise in this case."
Ha</)}p5D6,hand-tumors,1,no photo,2026-04-24 18:43:09.215255,2026-04-24 18:43:09.215255,true,false,"An 18-month-old male child presents to the clinic with a 3-month history of fast-growing masses on his middle and fourth fingers (illustrated). Histopathological examination of tissue from an incisional biopsy of the fourth finger lesion reveals interwoven fibroblasts and distinctive eosinophilic cytoplasmic inclusion bodies. What is the most suitable next management step?
A) Prescribing acyclovir therapy
B) Performing distal digit amputations
C) Ordering magnetic resonance imaging
D) Monitoring for spontaneous regression
E) Complete surgical excision of both masses with full-thickness skin reconstruction","E)
This represents the typical presentation of infantile digital fibromatosis, which requires complete wide excision and reconstruction, often utilizing full-thickness skin grafts or local flap coverage, as incomplete removal results in tumor recurrence. A) is incorrect because acyclovir is used for herpetic whitlow, not fibromatosis, and is not recommended for children under 2 years due to unestablished safety. B) is incorrect because distal finger amputation represents excessive and unnecessary treatment for this benign condition. C) is incorrect because MRI does not provide additional benefit in determining tumor extent or distinguishing this lesion from other conditions. D) is incorrect because although spontaneous regression may occur in some cases, these tumors can cause finger deformities if left untreated and must be differentiated from fibrosarcoma."
LJAWEF/r1w,hand-tumors,1,needs photo,2026-04-08 23:53:15.300701,2026-04-08 23:53:15.300701,true,false,"A 52-year-old woman presents to the clinic with a 9-month history of nail abnormality as depicted. Physical examination reveals thin skin covering a mass in the eponychial area. The digit is painless on examination. Her main concern is the cosmetic appearance of the nail. What is the most appropriate first step in treatment?
A) Surgical removal of the mass beneath the eponychial fold
B) Magnetic resonance imaging of the digit
C) Nail bed repair using split toenail bed graft
D) Destruction of the nail germinal matrix
E) Fluconazole therapy orally for 12 weeks","A)
Surgical removal of the mucous cyst (ganglion) beneath the eponychial fold that is distorting the germinal matrix is the most appropriate treatment for the nail groove depicted. Following cyst excision, the grooving should improve or completely resolve. B) is incorrect because MRI is primarily used for identifying glomus tumors and would add unnecessary cost without changing management. C) is incorrect because split sterile matrix grafting is used for nonadherent nail plates from sterile matrix loss, which is not evident here. D) is incorrect because germinal matrix ablation is reserved for cases of split or thin nails after germinal matrix trauma, not for mucous cyst-related deformities. E) is incorrect because fluconazole treats onychomycosis, which presents with nail discoloration, loss of luster, and crumbling - none of which are present in this case."
N}V)fVYw4&,head-neck-tumors,1,Need image,2026-05-03 15:33:54.52964,2026-05-03 15:33:54.52964,true,false,"A 21-year-old female presents with painless swelling of the left mandible. A panoramic radiograph is provided. What is the most probable diagnosis?
A) Cherubism
B) Dentigerous cyst
C) Desmoid tumor
D) Giant cell tumor
E) Tuberous sclerosis","B)
The panoramic radiographic findings are most characteristic of a dentigerous cyst, which is also known as a follicular cyst. These are developmental cystic lesions, not neoplasms, that form when the dental follicle separates from an unerupted tooth crown. Dentigerous cysts develop during odontogenesis and have an odontogenic origin. The cyst wall is composed of reduced enamel epithelium that normally participates in enamel formation. When this epithelium fails to integrate with the gingiva after enamel completion, fluid can collect between the epithelium and the unerupted tooth crown, forming a cyst. These lesions most frequently occur around impacted mandibular third molars and typically affect adolescents and young adults. They manifest as painless jaw expansion and radiographically appear as well-defined, unilocular radiolucent areas, commonly with a sclerotic border. The spatial relationship between the cyst and associated tooth can vary. A) Cherubism is incorrect because it is a rare hereditary condition affecting children where jaw bones are replaced by fibrous tissue and multiple cysts, causing bilateral facial swelling. C) Desmoid tumor is incorrect because these are solid fibrous masses that appear more aggressive and erosive radiographically. D) Giant cell tumor is incorrect because it presents as a solid lesion with more destructive radiographic features rather than a well-circumscribed cystic appearance. E) Tuberous sclerosis is incorrect because associated jaw lesions are typically solid bony growths, not cystic lesions."
sMZoD.._aD,head-neck-tumors,1,Need image,2026-05-06 00:29:09.178694,2026-05-06 00:29:09.178694,true,false,"Based on the panoramic radiograph (Panorex) provided, what is the most probable diagnosis for these bilateral expansile lesions?
A) Ameloblastoma
B) Central giant cell granulomas (CGCG)
C) Neurofibromas
D) Odontogenic keratocysts
E) Osteosarcoma","C)
Bilateral expansile lesions involving the inferior alveolar nerve canal are characteristic of neurofibroma. These lesions demonstrate expansion without local bone destruction, which is typical for neurofibromas. A is incorrect because ameloblastomas typically show locally destructive bone changes. B is incorrect because central giant cell granulomas usually present as multilocular lesions with cortical rupture and root resorption. D is incorrect because odontogenic keratocysts commonly cause local bone destruction. E is incorrect because osteosarcoma invariably demonstrates cortical destruction and aggressive bone changes."
I|+!>M$H*I,mandible-dental-orthognathic,1,need photo,2026-04-14 20:51:52.117195,2026-04-14 20:51:52.117195,true,false,"A 66-year-old male presents for follow-up 7 months following surgical removal of a T4 N1 M0 squamous cell carcinoma located in the retromolar trigone area, which included alveolar bone removal and subsequent soft tissue reconstruction using a platysma flap. Following surgery, he underwent radiation treatment to the primary site (60 Gy) and bilateral neck regions (64 Gy). Radiation treatment was completed 5 months prior. Current examination reveals a foul-smelling, painful region of exposed, soft bone at the surgical location. A panoramic radiograph (Panorex) is provided. Several tissue samples show no evidence of tumor recurrence. What is the most suitable treatment approach?
A) Extended intravenous antimicrobial treatment
B) Surgical reduction with internal hardware placement
C) Segmental bone removal with vascularized tissue reconstruction
D) Removal of dead bone fragments","C)
The patient has developed osteoradionecrosis of the mandible, which occurs in up to 40% of patients receiving adjuvant radiation for head and neck cancers due to reduced oxygen, blood supply, cellular activity, and impaired collagen formation. This condition is defined as exposed irradiated bone that fails to heal for over 3 months. Treatment varies based on disease extent. For extensive mandibular destruction or pathologic fractures as shown here, complete removal of all necrotic bone and tissue followed by reconstruction with vascularized bone and soft tissue is required, achieving successful healing in 80-90% of cases. A) is incorrect because antibiotics alone cannot address the extensive bone necrosis and structural damage present. B) is incorrect because internal fixation cannot be performed on necrotic, non-viable bone tissue. D) is incorrect because simple removal of bone fragments (sequestrectomy) is insufficient for extensive disease requiring complete reconstruction."
Mo1dKW9IyO,mandible-dental-orthognathic,1,need CT scan images,2026-04-15 18:46:28.621957,2026-04-15 18:46:28.621957,true,false,"A 27-year-old male presents to the emergency room following trauma from a physical confrontation. Clinical examination reveals apparent dental misalignment with crossbite on the left side and open bite on the right side. Imaging studies demonstrate the findings shown on CT. Which muscle below is most likely causing these imaging and clinical findings?
A) Genioglossus
B) Lateral pterygoid
C) Masseter
D) Medial pterygoid
E) Mylohyoid","B)
This patient exhibits classic radiographic and clinical signs of a right subcondylar mandibular fracture. The lateral pterygoid muscle causes anteromedial displacement of the condylar fragment away from the glenoid fossa, as this muscle normally pulls the condyle forward over the temporal bone's articular eminence during jaw opening. This displacement reduces the mandibular ramus height and creates early contact on the injured side, resulting in the characteristic pattern of subcondylar fractures: same-side crossbite and opposite-side open bite. A) Genioglossus is incorrect because it is a tongue muscle that runs along the mouth floor and primarily affects body and parasymphyseal fracture displacement. C) Masseter is incorrect because it forms part of the pterygomasseteric sling with the medial pterygoid, which primarily displaces angle and body fractures rather than condylar fractures. D) Medial pterygoid is incorrect because it also forms the pterygomasseteric sling and affects mandibular angle/body fractures, not condylar displacement. E) Mylohyoid is incorrect because it is a floor-of-mouth muscle that influences fracture displacement in the mandibular body and parasymphyseal areas, not the condylar region."
eIx9vx;278,mandible-dental-orthognathic,1,No CT image displayed with the question.,2026-04-12 20:45:32.566679,2026-04-12 20:45:32.566679,true,false,"A 16-year-old female presents to the emergency room following mandibular fractures from a vehicle rollover accident. She requires intubation during initial assessment due to compromised airway. Imaging reveals the fracture pattern shown on CT. What is the most suitable management approach for this injury pattern?
A) Intermaxillary fixation alone
B) Conservative management with dietary modifications
C) Surgical repair with internal fixation of both right body and left angle fractures
D) Surgical repair with internal fixation limited to the right body fracture
E) Delayed mandibular reconstruction after 6-week healing period","C)
Surgical repair with internal fixation of both right body and left angle fractures is correct because the CT demonstrates significantly displaced fractures at both the right body and left angle that require anatomical reduction and rigid fixation to restore proper occlusion and function. A is incorrect because intermaxillary fixation alone cannot adequately reduce and stabilize an angle fracture, which typically requires plate fixation. B is incorrect because conservative management is inappropriate for significantly displaced mandibular fractures that require surgical intervention for optimal healing. D is incorrect because treating only the body fracture while leaving the displaced angle fracture untreated would result in malocclusion and functional impairment. E is incorrect because current standards favor immediate primary repair rather than delayed reconstruction, which leads to better outcomes and avoids complications from prolonged healing in malposition."
"kjz5o;Pl,A",mandible-dental-orthognathic,1,need photo and better wording of the answer choices,2026-04-15 18:53:49.615625,2026-04-15 18:53:49.615625,true,false,"An 18-year-old male visits the clinic due to chin swelling. A panoramic radiograph is provided. What type of cyst is most probable?
A) Follicular
B) Gum-related
C) Root tip
D) Developmental
E) Remaining","A)
This radiographic appearance is most characteristic of a dentigerous (follicular) cyst, which is the second most frequent odontogenic cyst. These cysts develop around the crown of an impacted tooth, typically showing a radiolucent area attached at an acute angle to the unerupted tooth. Third molars are most commonly affected. B is incorrect because gingival cysts are superficial lesions in the gum tissue and wouldn't present with this deep radiographic appearance. C is incorrect because periapical cysts occur at the root tip of infected teeth and would show lucency at the tooth apex, not around the crown. D is incorrect because primordial cysts develop in place of a tooth rather than around an existing unerupted tooth. E is incorrect because residual cysts are remnants of periapical cysts that remain after tooth extraction, which doesn't match this clinical scenario."
